,code,expire_day,exchange,left_day,datetime
0,al2401C20400,20231225,SHFE,19,2023-12-06 13:27:54.999336
1,al2401P20400,20231225,SHFE,19,2023-12-06 13:27:54.999336
2,al2401C21000,20231225,SHFE,19,2023-12-06 13:27:54.999336
3,al2401P21000,20231225,SHFE,19,2023-12-06 13:27:54.999336
4,zn2401P21600,20231225,SHFE,19,2023-12-06 13:27:54.999336
5,zn2401P21400,20231225,SHFE,19,2023-12-06 13:27:54.999336
6,zn2401P21200,20231225,SHFE,19,2023-12-06 13:27:54.999336
7,zn2401P21000,20231225,SHFE,19,2023-12-06 13:27:54.999336
8,zn2401P20800,20231225,SHFE,19,2023-12-06 13:27:54.999336
9,zn2401P20600,20231225,SHFE,19,2023-12-06 13:27:54.999336
10,zn2401P20400,20231225,SHFE,19,2023-12-06 13:27:54.999336
11,zn2401P20200,20231225,SHFE,19,2023-12-06 13:27:54.999336
12,zn2401P20000,20231225,SHFE,19,2023-12-06 13:27:54.999336
13,zn2401P19800,20231225,SHFE,19,2023-12-06 13:27:54.999336
14,zn2401P19600,20231225,SHFE,19,2023-12-06 13:27:54.999336
15,zn2401P19400,20231225,SHFE,19,2023-12-06 13:27:54.999336
16,zn2401P19200,20231225,SHFE,19,2023-12-06 13:27:54.999336
17,zn2401P19000,20231225,SHFE,19,2023-12-06 13:27:54.999336
18,zn2401P18800,20231225,SHFE,19,2023-12-06 13:27:54.999336
19,zn2401P18600,20231225,SHFE,19,2023-12-06 13:27:54.999336
20,zn2401P24000,20231225,SHFE,19,2023-12-06 13:27:54.999336
21,al2401C20200,20231225,SHFE,19,2023-12-06 13:27:54.999336
22,al2401P20200,20231225,SHFE,19,2023-12-06 13:27:54.999336
23,br2401C14000,20231225,SHFE,19,2023-12-06 13:27:54.999336
24,br2401P14000,20231225,SHFE,19,2023-12-06 13:27:54.999336
25,al2401C20800,20231225,SHFE,19,2023-12-06 13:27:54.999336
26,al2401P20800,20231225,SHFE,19,2023-12-06 13:27:54.999336
27,ru2401C16000,20231225,SHFE,19,2023-12-06 13:27:54.999336
28,ru2401P16000,20231225,SHFE,19,2023-12-06 13:27:54.999336
29,al2401C20600,20231225,SHFE,19,2023-12-06 13:27:54.999336
30,al2401P20600,20231225,SHFE,19,2023-12-06 13:27:54.999336
31,br2401C16400,20231225,SHFE,19,2023-12-06 13:27:54.999336
32,br2401C16200,20231225,SHFE,19,2023-12-06 13:27:54.999336
33,br2401C16000,20231225,SHFE,19,2023-12-06 13:27:54.999336
34,br2401C15800,20231225,SHFE,19,2023-12-06 13:27:54.999336
35,br2401C15600,20231225,SHFE,19,2023-12-06 13:27:54.999336
36,br2401C14200,20231225,SHFE,19,2023-12-06 13:27:54.999336
37,br2401C15400,20231225,SHFE,19,2023-12-06 13:27:54.999336
38,br2401C15200,20231225,SHFE,19,2023-12-06 13:27:54.999336
39,br2401C14800,20231225,SHFE,19,2023-12-06 13:27:54.999336
40,br2401C15000,20231225,SHFE,19,2023-12-06 13:27:54.999336
41,br2401C14400,20231225,SHFE,19,2023-12-06 13:27:54.999336
42,br2401C14600,20231225,SHFE,19,2023-12-06 13:27:54.999336
43,br2401P16400,20231225,SHFE,19,2023-12-06 13:27:54.999336
44,br2401P16200,20231225,SHFE,19,2023-12-06 13:27:54.999336
45,br2401P16000,20231225,SHFE,19,2023-12-06 13:27:54.999336
46,br2401P15800,20231225,SHFE,19,2023-12-06 13:27:54.999336
47,br2401P15600,20231225,SHFE,19,2023-12-06 13:27:54.999336
48,br2401P15400,20231225,SHFE,19,2023-12-06 13:27:54.999336
49,br2401P15000,20231225,SHFE,19,2023-12-06 13:27:54.999336
50,br2401P14400,20231225,SHFE,19,2023-12-06 13:27:54.999336
51,br2401P14200,20231225,SHFE,19,2023-12-06 13:27:54.999336
52,br2401P15200,20231225,SHFE,19,2023-12-06 13:27:54.999336
53,br2401P14800,20231225,SHFE,19,2023-12-06 13:27:54.999336
54,br2401P14600,20231225,SHFE,19,2023-12-06 13:27:54.999336
55,br2401C13800,20231225,SHFE,19,2023-12-06 13:27:54.999336
56,br2401P13800,20231225,SHFE,19,2023-12-06 13:27:54.999336
57,ru2401C15750,20231225,SHFE,19,2023-12-06 13:27:54.999336
58,ru2401P15750,20231225,SHFE,19,2023-12-06 13:27:54.999336
59,ru2401C16250,20231225,SHFE,19,2023-12-06 13:27:54.999336
60,ru2401P16250,20231225,SHFE,19,2023-12-06 13:27:54.999336
61,br2401C16600,20231225,SHFE,19,2023-12-06 13:27:54.999336
62,br2401P16600,20231225,SHFE,19,2023-12-06 13:27:54.999336
63,rb2401C2950,20231225,SHFE,19,2023-12-06 13:27:54.999336
64,rb2401P2950,20231225,SHFE,19,2023-12-06 13:27:54.999336
65,al2401C19100,20231225,SHFE,19,2023-12-06 13:27:54.999336
66,al2401C18500,20231225,SHFE,19,2023-12-06 13:27:54.999336
67,al2401C17900,20231225,SHFE,19,2023-12-06 13:27:54.999336
68,al2401C16800,20231225,SHFE,19,2023-12-06 13:27:54.999336
69,al2401C17100,20231225,SHFE,19,2023-12-06 13:27:54.999336
70,al2401C18800,20231225,SHFE,19,2023-12-06 13:27:54.999336
71,al2401C19200,20231225,SHFE,19,2023-12-06 13:27:54.999336
72,al2401C19700,20231225,SHFE,19,2023-12-06 13:27:54.999336
73,al2401C17800,20231225,SHFE,19,2023-12-06 13:27:54.999336
74,al2401C19800,20231225,SHFE,19,2023-12-06 13:27:54.999336
75,al2401C17200,20231225,SHFE,19,2023-12-06 13:27:54.999336
76,al2401C18700,20231225,SHFE,19,2023-12-06 13:27:54.999336
77,al2401C18300,20231225,SHFE,19,2023-12-06 13:27:54.999336
