,code,expire_day,exchange,left_day,datetime
78,al2401C16700,20231225,SHFE,19,2023-12-06 13:27:54.999336
79,al2401C17600,20231225,SHFE,19,2023-12-06 13:27:54.999336
80,al2401C18100,20231225,SHFE,19,2023-12-06 13:27:54.999336
81,al2401C17500,20231225,SHFE,19,2023-12-06 13:27:54.999336
82,al2401C16300,20231225,SHFE,19,2023-12-06 13:27:54.999336
83,al2401C18900,20231225,SHFE,19,2023-12-06 13:27:54.999336
84,al2401C17400,20231225,SHFE,19,2023-12-06 13:27:54.999336
85,al2401C18400,20231225,SHFE,19,2023-12-06 13:27:54.999336
86,al2401C18200,20231225,SHFE,19,2023-12-06 13:27:54.999336
87,al2401C18000,20231225,SHFE,19,2023-12-06 13:27:54.999336
88,al2401C16600,20231225,SHFE,19,2023-12-06 13:27:54.999336
89,al2401C19000,20231225,SHFE,19,2023-12-06 13:27:54.999336
90,al2401C19500,20231225,SHFE,19,2023-12-06 13:27:54.999336
91,al2401C16900,20231225,SHFE,19,2023-12-06 13:27:54.999336
92,al2401C19400,20231225,SHFE,19,2023-12-06 13:27:54.999336
93,al2401C19900,20231225,SHFE,19,2023-12-06 13:27:54.999336
94,al2401C17700,20231225,SHFE,19,2023-12-06 13:27:54.999336
95,al2401C18600,20231225,SHFE,19,2023-12-06 13:27:54.999336
96,al2401C20000,20231225,SHFE,19,2023-12-06 13:27:54.999336
97,al2401C16500,20231225,SHFE,19,2023-12-06 13:27:54.999336
98,al2401C17000,20231225,SHFE,19,2023-12-06 13:27:54.999336
99,al2401C17300,20231225,SHFE,19,2023-12-06 13:27:54.999336
100,ag2401C6700,20231225,SHFE,19,2023-12-06 13:27:54.999336
101,ag2401P6700,20231225,SHFE,19,2023-12-06 13:27:54.999336
102,al2401C19600,20231225,SHFE,19,2023-12-06 13:27:54.999336
103,al2401C16400,20231225,SHFE,19,2023-12-06 13:27:54.999336
104,al2401C19300,20231225,SHFE,19,2023-12-06 13:27:54.999336
105,al2401P17600,20231225,SHFE,19,2023-12-06 13:27:54.999336
106,al2401P19800,20231225,SHFE,19,2023-12-06 13:27:54.999336
107,al2401P18600,20231225,SHFE,19,2023-12-06 13:27:54.999336
108,al2401P17700,20231225,SHFE,19,2023-12-06 13:27:54.999336
109,al2401P17500,20231225,SHFE,19,2023-12-06 13:27:54.999336
110,al2401P19700,20231225,SHFE,19,2023-12-06 13:27:54.999336
111,al2401P18500,20231225,SHFE,19,2023-12-06 13:27:54.999336
112,al2401P18800,20231225,SHFE,19,2023-12-06 13:27:54.999336
113,al2401P16800,20231225,SHFE,19,2023-12-06 13:27:54.999336
114,al2401P17400,20231225,SHFE,19,2023-12-06 13:27:54.999336
115,al2401P18200,20231225,SHFE,19,2023-12-06 13:27:54.999336
116,al2401P19400,20231225,SHFE,19,2023-12-06 13:27:54.999336
117,al2401P17300,20231225,SHFE,19,2023-12-06 13:27:54.999336
118,al2401P16700,20231225,SHFE,19,2023-12-06 13:27:54.999336
119,al2401P19100,20231225,SHFE,19,2023-12-06 13:27:54.999336
120,al2401P17000,20231225,SHFE,19,2023-12-06 13:27:54.999336
121,al2401P18700,20231225,SHFE,19,2023-12-06 13:27:54.999336
122,al2401P17200,20231225,SHFE,19,2023-12-06 13:27:54.999336
123,al2401P16500,20231225,SHFE,19,2023-12-06 13:27:54.999336
124,al2401P19200,20231225,SHFE,19,2023-12-06 13:27:54.999336
125,al2401P18400,20231225,SHFE,19,2023-12-06 13:27:54.999336
126,al2401P18900,20231225,SHFE,19,2023-12-06 13:27:54.999336
127,al2401P17800,20231225,SHFE,19,2023-12-06 13:27:54.999336
128,al2401P19300,20231225,SHFE,19,2023-12-06 13:27:54.999336
129,al2401P16400,20231225,SHFE,19,2023-12-06 13:27:54.999336
130,al2401P19000,20231225,SHFE,19,2023-12-06 13:27:54.999336
131,al2401P16300,20231225,SHFE,19,2023-12-06 13:27:54.999336
132,al2401P20000,20231225,SHFE,19,2023-12-06 13:27:54.999336
133,al2401P18100,20231225,SHFE,19,2023-12-06 13:27:54.999336
134,al2401P18300,20231225,SHFE,19,2023-12-06 13:27:54.999336
135,al2401P19600,20231225,SHFE,19,2023-12-06 13:27:54.999336
136,al2401P19500,20231225,SHFE,19,2023-12-06 13:27:54.999336
137,rb2401C2850,20231225,SHFE,19,2023-12-06 13:27:54.999336
138,rb2401P2850,20231225,SHFE,19,2023-12-06 13:27:54.999336
139,al2401P16900,20231225,SHFE,19,2023-12-06 13:27:54.999336
140,al2401P17900,20231225,SHFE,19,2023-12-06 13:27:54.999336
141,al2401P17100,20231225,SHFE,19,2023-12-06 13:27:54.999336
142,al2401P19900,20231225,SHFE,19,2023-12-06 13:27:54.999336
143,al2401P16600,20231225,SHFE,19,2023-12-06 13:27:54.999336
144,al2401P18000,20231225,SHFE,19,2023-12-06 13:27:54.999336
145,cu2401C77000,20231225,SHFE,19,2023-12-06 13:27:54.999336
146,cu2401P77000,20231225,SHFE,19,2023-12-06 13:27:54.999336
147,ru2401C14750,20231225,SHFE,19,2023-12-06 13:27:54.999336
148,ru2401P14750,20231225,SHFE,19,2023-12-06 13:27:54.999336
149,ag2401C4750,20231225,SHFE,19,2023-12-06 13:27:54.999336
150,ag2401C4700,20231225,SHFE,19,2023-12-06 13:27:54.999336
151,ag2401P4750,20231225,SHFE,19,2023-12-06 13:27:54.999336
152,ag2401P4700,20231225,SHFE,19,2023-12-06 13:27:54.999336
153,rb2401C2900,20231225,SHFE,19,2023-12-06 13:27:54.999336
154,rb2401P2900,20231225,SHFE,19,2023-12-06 13:27:54.999336
155,br2401C13200,20231225,SHFE,19,2023-12-06 13:27:54.999336
156,br2401C13000,20231225,SHFE,19,2023-12-06 13:27:54.999336
157,br2401C12800,20231225,SHFE,19,2023-12-06 13:27:54.999336
158,br2401C9800,20231225,SHFE,19,2023-12-06 13:27:54.999336
159,br2401C9900,20231225,SHFE,19,2023-12-06 13:27:54.999336
160,br2401C10000,20231225,SHFE,19,2023-12-06 13:27:54.999336
161,br2401C10400,20231225,SHFE,19,2023-12-06 13:27:54.999336
162,br2401C9700,20231225,SHFE,19,2023-12-06 13:27:54.999336
163,br2401C10200,20231225,SHFE,19,2023-12-06 13:27:54.999336
164,br2401C10600,20231225,SHFE,19,2023-12-06 13:27:54.999336
165,br2401C9500,20231225,SHFE,19,2023-12-06 13:27:54.999336
166,br2401C9400,20231225,SHFE,19,2023-12-06 13:27:54.999336
167,br2401C10800,20231225,SHFE,19,2023-12-06 13:27:54.999336
168,cu2401C76000,20231225,SHFE,19,2023-12-06 13:27:54.999336
169,cu2401P76000,20231225,SHFE,19,2023-12-06 13:27:54.999336
170,br2401C12400,20231225,SHFE,19,2023-12-06 13:27:54.999336
171,br2401C12600,20231225,SHFE,19,2023-12-06 13:27:54.999336
172,br2401C11800,20231225,SHFE,19,2023-12-06 13:27:54.999336
173,rb2401C3150,20231225,SHFE,19,2023-12-06 13:27:54.999336
174,rb2401P3150,20231225,SHFE,19,2023-12-06 13:27:54.999336
175,rb2401C3000,20231225,SHFE,19,2023-12-06 13:27:54.999336
176,rb2401P3000,20231225,SHFE,19,2023-12-06 13:27:54.999336
177,ru2401C14500,20231225,SHFE,19,2023-12-06 13:27:54.999336
178,ru2401C14250,20231225,SHFE,19,2023-12-06 13:27:54.999336
179,ru2401C14000,20231225,SHFE,19,2023-12-06 13:27:54.999336
180,ru2401C13750,20231225,SHFE,19,2023-12-06 13:27:54.999336
181,ru2401C15500,20231225,SHFE,19,2023-12-06 13:27:54.999336
182,ru2401P15500,20231225,SHFE,19,2023-12-06 13:27:54.999336
183,ag2401C4800,20231225,SHFE,19,2023-12-06 13:27:54.999336
184,ag2401P4800,20231225,SHFE,19,2023-12-06 13:27:54.999336
185,ru2401C13500,20231225,SHFE,19,2023-12-06 13:27:54.999336
186,ru2401C13250,20231225,SHFE,19,2023-12-06 13:27:54.999336
187,ru2401C13000,20231225,SHFE,19,2023-12-06 13:27:54.999336
188,ru2401C12750,20231225,SHFE,19,2023-12-06 13:27:54.999336
189,ru2401C12500,20231225,SHFE,19,2023-12-06 13:27:54.999336
190,ru2401C12250,20231225,SHFE,19,2023-12-06 13:27:54.999336
191,ru2401C12000,20231225,SHFE,19,2023-12-06 13:27:54.999336
192,ru2401C11750,20231225,SHFE,19,2023-12-06 13:27:54.999336
193,ru2401C11500,20231225,SHFE,19,2023-12-06 13:27:54.999336
194,ru2401C11250,20231225,SHFE,19,2023-12-06 13:27:54.999336
195,ru2401P14500,20231225,SHFE,19,2023-12-06 13:27:54.999336
196,ru2401P14250,20231225,SHFE,19,2023-12-06 13:27:54.999336
197,ru2401P14000,20231225,SHFE,19,2023-12-06 13:27:54.999336
198,ru2401P13750,20231225,SHFE,19,2023-12-06 13:27:54.999336
199,ru2401P13500,20231225,SHFE,19,2023-12-06 13:27:54.999336
200,ru2401P13250,20231225,SHFE,19,2023-12-06 13:27:54.999336
201,ru2401P13000,20231225,SHFE,19,2023-12-06 13:27:54.999336
202,ru2401P12750,20231225,SHFE,19,2023-12-06 13:27:54.999336
203,ru2401P12500,20231225,SHFE,19,2023-12-06 13:27:54.999336
204,ru2401P12250,20231225,SHFE,19,2023-12-06 13:27:54.999336
205,ru2401P12000,20231225,SHFE,19,2023-12-06 13:27:54.999336
206,ru2401P11750,20231225,SHFE,19,2023-12-06 13:27:54.999336
207,ru2401P11500,20231225,SHFE,19,2023-12-06 13:27:54.999336
208,ru2401P11250,20231225,SHFE,19,2023-12-06 13:27:54.999336
209,ru2401C15250,20231225,SHFE,19,2023-12-06 13:27:54.999336
210,ru2401P15250,20231225,SHFE,19,2023-12-06 13:27:54.999336
211,ru2401C11000,20231225,SHFE,19,2023-12-06 13:27:54.999336
212,al2401C21600,20231225,SHFE,19,2023-12-06 13:27:54.999336
213,al2401C21400,20231225,SHFE,19,2023-12-06 13:27:54.999336
214,al2401C21200,20231225,SHFE,19,2023-12-06 13:27:54.999336
215,al2401P21600,20231225,SHFE,19,2023-12-06 13:27:54.999336
216,al2401P21400,20231225,SHFE,19,2023-12-06 13:27:54.999336
217,al2401P21200,20231225,SHFE,19,2023-12-06 13:27:54.999336
218,ru2401P11000,20231225,SHFE,19,2023-12-06 13:27:54.999336
219,cu2401C59000,20231225,SHFE,19,2023-12-06 13:27:54.999336
220,cu2401C58000,20231225,SHFE,19,2023-12-06 13:27:54.999336
221,cu2401P59000,20231225,SHFE,19,2023-12-06 13:27:54.999336
222,cu2401P58000,20231225,SHFE,19,2023-12-06 13:27:54.999336
223,zn2401P23800,20231225,SHFE,19,2023-12-06 13:27:54.999336
224,zn2401P23600,20231225,SHFE,19,2023-12-06 13:27:54.999336
225,zn2401P23400,20231225,SHFE,19,2023-12-06 13:27:54.999336
226,zn2401P23200,20231225,SHFE,19,2023-12-06 13:27:54.999336
227,zn2401P23000,20231225,SHFE,19,2023-12-06 13:27:54.999336
228,zn2401P22800,20231225,SHFE,19,2023-12-06 13:27:54.999336
229,zn2401P22600,20231225,SHFE,19,2023-12-06 13:27:54.999336
230,zn2401P22400,20231225,SHFE,19,2023-12-06 13:27:54.999336
231,zn2401P22200,20231225,SHFE,19,2023-12-06 13:27:54.999336
232,zn2401P22000,20231225,SHFE,19,2023-12-06 13:27:54.999336
233,zn2401P21800,20231225,SHFE,19,2023-12-06 13:27:54.999336
234,zn2401C19600,20231225,SHFE,19,2023-12-06 13:27:54.999336
235,zn2401C19400,20231225,SHFE,19,2023-12-06 13:27:54.999336
236,zn2401C19200,20231225,SHFE,19,2023-12-06 13:27:54.999336
237,zn2401C19000,20231225,SHFE,19,2023-12-06 13:27:54.999336
238,zn2401C18800,20231225,SHFE,19,2023-12-06 13:27:54.999336
239,zn2401C18600,20231225,SHFE,19,2023-12-06 13:27:54.999336
240,zn2401C24000,20231225,SHFE,19,2023-12-06 13:27:54.999336
241,zn2401C23800,20231225,SHFE,19,2023-12-06 13:27:54.999336
242,zn2401C23600,20231225,SHFE,19,2023-12-06 13:27:54.999336
243,zn2401C23400,20231225,SHFE,19,2023-12-06 13:27:54.999336
244,zn2401C23200,20231225,SHFE,19,2023-12-06 13:27:54.999336
245,zn2401C23000,20231225,SHFE,19,2023-12-06 13:27:54.999336
246,zn2401C22800,20231225,SHFE,19,2023-12-06 13:27:54.999336
247,zn2401C22600,20231225,SHFE,19,2023-12-06 13:27:54.999336
248,zn2401C22400,20231225,SHFE,19,2023-12-06 13:27:54.999336
249,zn2401C22200,20231225,SHFE,19,2023-12-06 13:27:54.999336
250,zn2401C22000,20231225,SHFE,19,2023-12-06 13:27:54.999336
251,zn2401C21800,20231225,SHFE,19,2023-12-06 13:27:54.999336
252,zn2401C21600,20231225,SHFE,19,2023-12-06 13:27:54.999336
253,zn2401C21400,20231225,SHFE,19,2023-12-06 13:27:54.999336
254,zn2401C21200,20231225,SHFE,19,2023-12-06 13:27:54.999336
255,zn2401C21000,20231225,SHFE,19,2023-12-06 13:27:54.999336
256,zn2401C20800,20231225,SHFE,19,2023-12-06 13:27:54.999336
257,zn2401C20600,20231225,SHFE,19,2023-12-06 13:27:54.999336
258,zn2401C20400,20231225,SHFE,19,2023-12-06 13:27:54.999336
259,zn2401C20200,20231225,SHFE,19,2023-12-06 13:27:54.999336
260,zn2401C20000,20231225,SHFE,19,2023-12-06 13:27:54.999336
261,zn2401C19800,20231225,SHFE,19,2023-12-06 13:27:54.999336
262,cu2401C73000,20231225,SHFE,19,2023-12-06 13:27:54.999336
263,cu2401C72000,20231225,SHFE,19,2023-12-06 13:27:54.999336
264,cu2401C71000,20231225,SHFE,19,2023-12-06 13:27:54.999336
265,cu2401C70000,20231225,SHFE,19,2023-12-06 13:27:54.999336
266,cu2401C69000,20231225,SHFE,19,2023-12-06 13:27:54.999336
267,cu2401C68000,20231225,SHFE,19,2023-12-06 13:27:54.999336
268,cu2401C67000,20231225,SHFE,19,2023-12-06 13:27:54.999336
269,cu2401C66000,20231225,SHFE,19,2023-12-06 13:27:54.999336
270,br2401C13400,20231225,SHFE,19,2023-12-06 13:27:54.999336
271,br2401P13400,20231225,SHFE,19,2023-12-06 13:27:54.999336
272,ru2401C15000,20231225,SHFE,19,2023-12-06 13:27:54.999336
273,ru2401P15000,20231225,SHFE,19,2023-12-06 13:27:54.999336
274,cu2401C65000,20231225,SHFE,19,2023-12-06 13:27:54.999336
275,cu2401C64000,20231225,SHFE,19,2023-12-06 13:27:54.999336
276,cu2401C63000,20231225,SHFE,19,2023-12-06 13:27:54.999336
277,cu2401C62000,20231225,SHFE,19,2023-12-06 13:27:54.999336
278,cu2401C61000,20231225,SHFE,19,2023-12-06 13:27:54.999336
279,cu2401C60000,20231225,SHFE,19,2023-12-06 13:27:54.999336
280,cu2401P73000,20231225,SHFE,19,2023-12-06 13:27:54.999336
281,br2401C9600,20231225,SHFE,19,2023-12-06 13:27:54.999336
282,br2401C12000,20231225,SHFE,19,2023-12-06 13:27:54.999336
283,br2401C11600,20231225,SHFE,19,2023-12-06 13:27:54.999336
284,br2401C11000,20231225,SHFE,19,2023-12-06 13:27:54.999336
285,br2401C9200,20231225,SHFE,19,2023-12-06 13:27:54.999336
286,br2401C12200,20231225,SHFE,19,2023-12-06 13:27:54.999336
287,br2401C11400,20231225,SHFE,19,2023-12-06 13:27:54.999336
288,br2401C9300,20231225,SHFE,19,2023-12-06 13:27:54.999336
289,br2401C9100,20231225,SHFE,19,2023-12-06 13:27:54.999336
290,br2401C11200,20231225,SHFE,19,2023-12-06 13:27:54.999336
291,cu2401P72000,20231225,SHFE,19,2023-12-06 13:27:54.999336
292,cu2401P71000,20231225,SHFE,19,2023-12-06 13:27:54.999336
293,cu2401P70000,20231225,SHFE,19,2023-12-06 13:27:54.999336
294,cu2401P69000,20231225,SHFE,19,2023-12-06 13:27:54.999336
295,cu2401P68000,20231225,SHFE,19,2023-12-06 13:27:54.999336
296,cu2401P67000,20231225,SHFE,19,2023-12-06 13:27:54.999336
297,cu2401P66000,20231225,SHFE,19,2023-12-06 13:27:54.999336
298,cu2401P65000,20231225,SHFE,19,2023-12-06 13:27:54.999336
299,cu2401P64000,20231225,SHFE,19,2023-12-06 13:27:54.999336
300,cu2401P63000,20231225,SHFE,19,2023-12-06 13:27:54.999336
301,cu2401P62000,20231225,SHFE,19,2023-12-06 13:27:54.999336
302,cu2401P61000,20231225,SHFE,19,2023-12-06 13:27:54.999336
303,cu2401P60000,20231225,SHFE,19,2023-12-06 13:27:54.999336
304,rb2401C3200,20231225,SHFE,19,2023-12-06 13:27:54.999336
305,rb2401C4550,20231225,SHFE,19,2023-12-06 13:27:54.999336
306,rb2401C4500,20231225,SHFE,19,2023-12-06 13:27:54.999336
307,rb2401C4450,20231225,SHFE,19,2023-12-06 13:27:54.999336
308,br2401P13200,20231225,SHFE,19,2023-12-06 13:27:54.999336
309,br2401P13000,20231225,SHFE,19,2023-12-06 13:27:54.999336
310,br2401P11000,20231225,SHFE,19,2023-12-06 13:27:54.999336
311,br2401P9900,20231225,SHFE,19,2023-12-06 13:27:54.999336
312,br2401P12400,20231225,SHFE,19,2023-12-06 13:27:54.999336
313,br2401P12000,20231225,SHFE,19,2023-12-06 13:27:54.999336
314,br2401P9800,20231225,SHFE,19,2023-12-06 13:27:54.999336
315,br2401P9700,20231225,SHFE,19,2023-12-06 13:27:54.999336
316,br2401P11800,20231225,SHFE,19,2023-12-06 13:27:54.999336
317,br2401P9600,20231225,SHFE,19,2023-12-06 13:27:54.999336
318,br2401P10600,20231225,SHFE,19,2023-12-06 13:27:54.999336
319,br2401P9400,20231225,SHFE,19,2023-12-06 13:27:54.999336
320,br2401P11200,20231225,SHFE,19,2023-12-06 13:27:54.999336
321,br2401P10200,20231225,SHFE,19,2023-12-06 13:27:54.999336
322,ag2401C6100,20231225,SHFE,19,2023-12-06 13:27:54.999336
323,ag2401C6000,20231225,SHFE,19,2023-12-06 13:27:54.999336
324,ag2401C5900,20231225,SHFE,19,2023-12-06 13:27:54.999336
325,ag2401C5800,20231225,SHFE,19,2023-12-06 13:27:54.999336
326,ag2401C5700,20231225,SHFE,19,2023-12-06 13:27:54.999336
327,ag2401C5600,20231225,SHFE,19,2023-12-06 13:27:54.999336
328,ag2401C5500,20231225,SHFE,19,2023-12-06 13:27:54.999336
329,ag2401C5400,20231225,SHFE,19,2023-12-06 13:27:54.999336
330,ag2401C5300,20231225,SHFE,19,2023-12-06 13:27:54.999336
331,ag2401C5200,20231225,SHFE,19,2023-12-06 13:27:54.999336
332,ag2401C5100,20231225,SHFE,19,2023-12-06 13:27:54.999336
333,ag2401C5000,20231225,SHFE,19,2023-12-06 13:27:54.999336
334,ag2401C6500,20231225,SHFE,19,2023-12-06 13:27:54.999336
335,ag2401C6400,20231225,SHFE,19,2023-12-06 13:27:54.999336
336,ag2401C6300,20231225,SHFE,19,2023-12-06 13:27:54.999336
337,ag2401C6200,20231225,SHFE,19,2023-12-06 13:27:54.999336
338,ag2401C4950,20231225,SHFE,19,2023-12-06 13:27:54.999336
339,ag2401C4900,20231225,SHFE,19,2023-12-06 13:27:54.999336
340,ag2401P6500,20231225,SHFE,19,2023-12-06 13:27:54.999336
341,ag2401P6400,20231225,SHFE,19,2023-12-06 13:27:54.999336
342,ag2401P6300,20231225,SHFE,19,2023-12-06 13:27:54.999336
343,ag2401P6200,20231225,SHFE,19,2023-12-06 13:27:54.999336
344,ag2401P6100,20231225,SHFE,19,2023-12-06 13:27:54.999336
345,ag2401P6000,20231225,SHFE,19,2023-12-06 13:27:54.999336
346,ag2401P5900,20231225,SHFE,19,2023-12-06 13:27:54.999336
347,ag2401P5800,20231225,SHFE,19,2023-12-06 13:27:54.999336
348,ag2401P5700,20231225,SHFE,19,2023-12-06 13:27:54.999336
349,ag2401P5600,20231225,SHFE,19,2023-12-06 13:27:54.999336
350,ag2401P5500,20231225,SHFE,19,2023-12-06 13:27:54.999336
351,ag2401P5400,20231225,SHFE,19,2023-12-06 13:27:54.999336
352,ag2401P5300,20231225,SHFE,19,2023-12-06 13:27:54.999336
353,ag2401P5200,20231225,SHFE,19,2023-12-06 13:27:54.999336
354,ag2401P5100,20231225,SHFE,19,2023-12-06 13:27:54.999336
355,rb2401C4400,20231225,SHFE,19,2023-12-06 13:27:54.999336
356,rb2401C4350,20231225,SHFE,19,2023-12-06 13:27:54.999336
357,rb2401C4300,20231225,SHFE,19,2023-12-06 13:27:54.999336
358,rb2401C4250,20231225,SHFE,19,2023-12-06 13:27:54.999336
359,rb2401C4200,20231225,SHFE,19,2023-12-06 13:27:54.999336
360,br2401P12200,20231225,SHFE,19,2023-12-06 13:27:54.999336
361,br2401P9100,20231225,SHFE,19,2023-12-06 13:27:54.999336
362,br2401P11400,20231225,SHFE,19,2023-12-06 13:27:54.999336
363,rb2401C3100,20231225,SHFE,19,2023-12-06 13:27:54.999336
364,rb2401C3050,20231225,SHFE,19,2023-12-06 13:27:54.999336
365,rb2401C4150,20231225,SHFE,19,2023-12-06 13:27:54.999336
366,rb2401C4100,20231225,SHFE,19,2023-12-06 13:27:54.999336
367,rb2401C4050,20231225,SHFE,19,2023-12-06 13:27:54.999336
368,rb2401C4000,20231225,SHFE,19,2023-12-06 13:27:54.999336
369,rb2401C3950,20231225,SHFE,19,2023-12-06 13:27:54.999336
370,rb2401C3900,20231225,SHFE,19,2023-12-06 13:27:54.999336
371,rb2401C3850,20231225,SHFE,19,2023-12-06 13:27:54.999336
372,rb2401C3800,20231225,SHFE,19,2023-12-06 13:27:54.999336
373,rb2401C3750,20231225,SHFE,19,2023-12-06 13:27:54.999336
374,rb2401C3700,20231225,SHFE,19,2023-12-06 13:27:54.999336
375,rb2401C3650,20231225,SHFE,19,2023-12-06 13:27:54.999336
376,rb2401C3600,20231225,SHFE,19,2023-12-06 13:27:54.999336
377,rb2401C3550,20231225,SHFE,19,2023-12-06 13:27:54.999336
378,rb2401C3500,20231225,SHFE,19,2023-12-06 13:27:54.999336
379,rb2401C3450,20231225,SHFE,19,2023-12-06 13:27:54.999336
380,rb2401C3400,20231225,SHFE,19,2023-12-06 13:27:54.999336
